50 63
8 9 4
29 31 4
28 6 4
33 0 10
36 30 2
3 47 1
29 11 5
12 33 2
23 26 5
20 29 9
8 21 8
29 25 10
39 23 1
9 12 1
8 40 10
8 44 9
44 5 3
30 4 2
20 7 7
40 41 6
17 15 4
8 17 5
20 10 8
10 19 5
41 43 9
28 36 2
49 13 7
49 38 1
10 2 8
42 8 2
26 8 1
35 41 8
39 18 8
6 16 4
40 28 4
0 48 6
10 14 8
49 39 5
3 4 1
9 29 8
15 37 2
21 49 5
25 38 6
33 45 6
13 27 7
9 5 4
18 11 9
19 22 7
21 4 4
47 1 8
21 3 5
21 24 2
8 20 1
9 47 1
49 42 7
14 46 9
11 34 8
16 49 7
20 11 1
32 35 5
6 32 5
19 9 4
30 29 8
31 1 8 35 47 19 38 41 15 49 40 0 27 11 12 33 9 24 3 43 48 14 23 37 36
